icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,,,,29.74,-94.49,0,,N29.74W-94.49
,,,,,,30.73,-99.11,0,,N30.73W-99.11
,,,,,,43.97,-113.44,0,,N43.97W-113.44
,,,,,,41.74,-91.14,0,,N41.74W-91.14
,,,,,,49.68,-113.40,0,,N49.68W-113.40
,,,,,,23.48,-82.84,0,,N23.48W-82.84
,,,,,,41.65,-90.05,0,,N41.65W-90.05
,,,,,,40.78,-111.97,0,,SLC
,,,,,,27.47,-97.38,0,,N27.47W-97.38
,,,,,,37.63,-122.81,0,,N37.63W-122.81
,,,,,,44.17,-111.20,0,,N44.17W-111.20
,,,,,,24.60,-111.45,0,,N24.60W-111.45
,,,,,,28.54,-76.01,0,,N28.54W-76.01
,,,,,,49.08,-110.80,0,,N49.08W-110.80
,,,,,,31.54,-99.09,0,,N31.54W-99.09
,,,,,,25.47,-91.29,0,,N25.47W-91.29
,,,,,,43.16,-124.67,0,,N43.16W-124.67
,,,,,,26.06,-79.53,0,,N26.06W-79.53
,,,,,,50.82,-108.56,0,,N50.82W-108.56
,,,,,,30.52,-77.30,0,,N30.52W-77.30
,,,,,,31.64,-119.16,0,,N31.64W-119.16
,,,,,,39.22,-90.43,0,,N39.22W-90.43
,,,,,,37.20,-97.91,0,,N37.20W-97.91
,,,,,,41.72,-70.96,0,,N41.72W-70.96
,,,,,,33.07,-96.14,0,,N33.07W-96.14
,,,,,,26.12,-117.92,0,,N26.12W-117.92
,,,,,,27.33,-74.52,0,,N27.33W-74.52
,,,,,,48.51,-85.12,0,,N48.51W-85.12
,,,,,,42.71,-108.75,0,,N42.71W-108.75
,,,,,,29.41,-117.70,0,,N29.41W-117.70
,,,,,,28.19,-95.53,0,,N28.19W-95.53
,,,,,,47.37,-128.81,0,,N47.37W-128.81
,,,,,,41.78,-78.92,0,,N41.78W-78.92
,,,,,,40.24,-117.09,0,,N40.24W-117.09
,,,,,,37.24,-102.01,0,,N37.24W-102.01
,,,,,,24.96,-115.02,0,,N24.96W-115.02
,,,,,,30.33,-89.83,0,,STL
,,,,,,43.44,-92.01,0,,N43.44W-92.01
,,,,,,35.99,-75.48,0,,N35.99W-75.48
,,,,,,41.93,-75.46,0,,N41.93W-75.46
,,,,,,29.26,-118.61,0,,N29.26W-118.61
,,,,,,38.21,-113.48,0,,N38.21W-113.48
,,,,,,38.06,-102.02,0,,N38.06W-102.02
,,,,,,50.22,-102.23,0,,N50.22W-102.23
,,,,,,33.38,-118.59,0,,N33.38W-118.59
,,,,,,47.39,-111.73,0,,N47.39W-111.73
,,,,,,43.77,-100.98,0,,N43.77W-100.98
,,,,,,29.09,-74.87,0,,N29.09W-74.87
,,,,,,24.10,-120.15,0,,N24.10W-120.15
,,,,,,30.41,-109.41,0,,N30.41W-109.41
,,,,,,26.56,-74.78,0,,N26.56W-74.78
,,,,,,26.40,-116.18,0,,N26.40W-116.18
,,,,,,46.99,-98.61,0,,N46.99W-98.61
,,,,,,46.78,-67.16,0,,N46.78W-67.16
,,,,,,45.55,-69.08,0,,N45.55W-69.08
,,,,,,46.29,-125.87,0,,N46.29W-125.87
,,,,,,28.27,-104.63,0,,N28.27W-104.63
,,,,,,41.69,-83.42,0,,N41.69W-83.42
,,,,,,41.55,-112.99,0,,N41.55W-112.99
,,,,,,46.19,-99.81,0,,N46.19W-99.81
,,,,,,34.33,-117.81,0,,N34.33W-117.81
,,,,,,35.98,-111.07,0,,N35.98W-111.07
,,,,,,43.36,-123.59,0,,N43.36W-123.59
,,,,,,47.38,-90.23,0,,N47.38W-90.23
,,,,,,31.71,-123.07,0,,N31.71W-123.07
,,,,,,36.95,-109.15,0,,N36.95W-109.15
,,,,,,46.82,-93.89,0,,N46.82W-93.89
,,,,,,46.92,-105.71,0,,N46.92W-105.71
,,,,,,47.73,-105.78,0,,N47.73W-105.78
,,,,,,45.50,-120.79,0,,N45.50W-120.79
,,,,,,35.43,-80.84,0,,N35.43W-80.84
,,,,,,41.20,-95.56,0,,N41.20W-95.56
,,,,,,44.91,-84.71,0,,APX
,,,,,,33.14,-87.37,0,,N33.14W-87.37
,,,,,,41.99,-116.40,0,,N41.99W-116.40
,,,,,,46.67,-91.54,0,,N46.67W-91.54
