icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,N38W82,,,38.00,-82.00,-999,,N38W82
,,,N43W76,,,43.00,-76.00,-999,,N43W76
,,,N45W79,,,45.00,-79.00,-999,,N45W79
,,,N32W95,,,32.00,-95.00,-999,,N32W95
,,,N31W72,,,31.00,-72.00,-999,,N31W72
,,,N43W103,,,43.00,-103.00,-999,,N43W103
,,,N38W80,,,38.00,-80.00,-999,,N38W80
,,,DRT,,,29.37,-100.92,-999,,DRT
,,,N43W82,,,43.00,-82.00,-999,,N43W82
,,,N49W100,,,49.00,-100.00,-999,,N49W100
,,,N37W89,,,37.00,-89.00,-999,,N37W89
,,,N43W88,,,43.00,-88.00,-999,,N43W88
,,,N43W87,,,43.00,-87.00,-999,,N43W87
,,,N43W81,,,43.00,-81.00,-999,,N43W81
,,,N35W73,,,35.00,-73.00,-999,,N35W73
,,,N37W92,,,37.00,-92.00,-999,,N37W92
,,,N43W106,,,43.00,-106.00,-999,,N43W106
,,,N40W81,,,40.00,-81.00,-999,,N40W81
,,,N34W105,,,34.00,-105.00,-999,,N34W105
,,,N47W88,,,47.00,-88.00,-999,,N47W88
,,,N40W73,,,40.00,-73.00,-999,,N40W73
,,,N46W81,,,46.00,-81.00,-999,,N46W81
,,,N44W76,,,44.00,-76.00,-999,,N44W76
,,,N37W94,,,37.00,-94.00,-999,,N37W94
,,,N46W80,,,46.00,-80.00,-999,,N46W80
,,,N34W80,,,34.00,-80.00,-999,,N34W80
,,,N48W89,,,48.00,-89.00,-999,,N48W89
,,,N39W86,,,39.00,-86.00,-999,,N39W86
,,,N44W87,,,44.00,-87.00,-999,,N44W87
,,,N36W78,,,36.00,-78.00,-999,,N36W78
,,,N44W96,,,44.00,-96.00,-999,,N44W96
,,,N33W92,,,33.00,-92.00,-999,,N33W92
,,,N49W83,,,49.00,-83.00,-999,,N49W83
,,,N43W75,,,43.00,-75.00,-999,,N43W75
,,,N37W98,,,37.00,-98.00,-999,,N37W98
,,,N45W85,,,45.00,-85.00,-999,,N45W85
,,,N43W77,,,43.00,-77.00,-999,,N43W77
,,,N42W95,,,42.00,-95.00,-999,,N42W95
,,,N47W99,,,47.00,-99.00,-999,,N47W99
,,,N33W88,,,33.00,-88.00,-999,,N33W88
,,,N38W87,,,38.00,-87.00,-999,,N38W87
,,,N37W81,,,37.00,-81.00,-999,,N37W81
,,,N40W84,,,40.00,-84.00,-999,,N40W84
,,,MAF,,,31.93,-102.20,-999,,MAF
