MB,CAMP SHILO,CWLO , 49.79000, -99.65000,  373
MB,THE PAS,CYQD , 53.98000,-101.10000,  273
AB,EDMONTON,CYXD , 53.58000,-113.52000,  671
BC,PRINCE GEORGE,CYXS , 53.89000,-122.67000,  676
QB,FORT CHIMO,CYVP , 58.11000, -68.42000,   36
QB,INOUCDJOUAC,CYPH , 58.46000, -78.12000,    7
NW,FROBISHER BAY,CYFB , 63.76000, -68.55000,   21
MB,CHURCHILL,CYYQ , 58.76000, -94.07000,   30
NW,CORAL HARBOUR,CYZS , 64.20000, -83.37000,   62
NW,EUREKA,CWEU , 80.00000, -85.93000,   10
NW,RESOLUTE BAY,CYRB , 74.72000, -94.95000,   40
NW,CAMBRIDGE BAY,CYCB , 69.10000,-105.12000,   25
NW,BAKER LAKE,CYBK , 64.30000, -96.00000,   49
NW,FORT SMITH,CYSM , 60.04000,-111.93000,  203
BC,FORT NELSON,CYYE , 58.84000,-122.60000,  382
NW,INUVIK,CYEV , 68.32000,-133.53000,   68
YK,WHITEHORSE,CYXY , 60.73000,-135.07000,  700
FL,KEY WEST,KKEY , 24.55350, -81.78818,   15
FL,MIAMI,KMFL , 25.75472, -80.38389,    5
FL,JACKSONVILLE,KJAX , 30.48472, -81.70167,   11
SC,CHARLESTON,KCHS , 32.90056, -80.03333,   15
FL,TAMPA BAY,KTBW , 27.70500, -82.40194,   13
FL,TALLAHASSEE,KTAE , 30.39583, -84.35056,   18
GA,ATLANTA,KFFC , 33.35583, -84.56722,  246
FL,VALPARAISO/EGLIN,KVPS , 30.48000, -86.52000,   20
AL,BIRMINGHAM,KBMX , 33.18028, -86.78361,  174
LA,NEW ORLEANS,KLIX , 30.33889, -89.83056,   10
MS,JACKSON,KJAN , 32.32028, -90.08028,   91
LA,LAKE CHARLES,KLCH , 30.12528, -93.21639,    5
LA,SHREVEPORT,KSHV , 32.45222, -93.84250,   85
TX,FORT WORTH,KFWD , 32.83500, -97.29722,  198
TX,BROWNSVILLE,KBRO , 25.91556, -97.41972,    7
TX,CORPUS CHRISTI,KCRP , 27.77944, -97.50500,   14
TX,FORT HOOD,KHLR , 31.11000, -97.33000,  270
TX,DEL RIO,KDRT , 29.36667,-100.91667,  314
TX,MIDLAND,KMAF , 31.94278,-102.18889,  873
NM,WHITE SANDS,KWSD , 32.39000,-106.48000, 1244
AZ,TUCSON,KTWC , 32.22789,-110.95598,  751
AZ,YUMA (MARINE),KYUM , 32.65000,-114.60000,   63
CA,SAN NICOLAS ISLAND,KNSI , 33.26000,-119.45000,  153
CA,SAN DIEGO,KNKX , 32.84444,-117.12333,  134
NC,MOREHEAD CITY,KMHX , 34.77556, -76.87917,   11
NC,GREENSBORO,KGSO , 36.08333, -79.95000,  277
VA,ROANOKE,KRNK , 37.20556, -80.41417,    0
TN,NASHVILLE,KOHX , 36.23333, -86.55000,  180
AR,LITTLE ROCK,KLZK , 34.83556, -92.25861,  172
OK,OKLAHOMA CITY,KOUN , 35.23556, -97.46083,  357
TX,AMARILLO,KAMA , 35.23194,-101.70833, 1094
TX,EL PASO,KEPZ , 31.87750,-106.68333, 1257
NM,ALBUQUERQUE,KABQ , 35.03806,-106.62194, 1615
AZ,FLAGSTAFF,KFGZ , 35.23056,-111.82028, 2180
CA,EDWARDS AFB,KEDW , 34.93000,-117.90000,  705
NV,DESERT ROCK,KDRA , 36.62861,-116.02167, 1007
CA,PT MUGU NAWS,KNTD , 34.12000,-119.12000,    4
CA,VANDENBERG AFB,KVBG , 34.76000,-120.57000,  100
VA,WALLOPS ISLAND,KWAL , 37.93333, -75.48333,   13
D.C.,WASHINGTON,KLWX , 38.98333, -77.46667,   85
OH,CINCINNATI,KILN , 39.42111, -83.82111,  323
MO,SPRINGFIELD,KSGF , 37.23583, -93.40194,  390
KS,DODGE CITY,KDDC , 37.76139, -99.96889,  790
KS,TOPEKA,KTOP , 39.07222, -95.63028,  270
CO,DENVER,KDNR , 39.76806,-104.86944, 1611
CO,GRAND JUNCTION,KGJT , 39.11667,-108.53333, 1475
NV,RENO,KREV , 39.56861,-119.79639, 1516
CA,OAKLAND,KOAK , 37.74306,-122.22056,    6
NY,UPTON,KOKX , 40.86639, -72.85139,   20
NY,ALBANY,KALY , 42.73333, -73.80000,   86
PA,PITTSBURGH,KPBZ , 40.53194, -80.21806,  360
NY,BUFFALO,KBUF , 42.93972, -78.73611,  218
NE,OMAHA,KOAX , 41.31944, -96.36611,  350
NE,NORTH PLATTE,KLBF , 41.14972,-100.70056,  847
UT,SALT LAKE CITY,KSLC , 40.77389,-111.95444, 1288
NV,ELKO,KLKN , 40.86028,-115.74167, 1607
OR,MEDFORD,KMFR , 42.38139,-122.87779,  397
MI,DETROIT,KDTX , 42.69917, -83.47167,  329
MI,GAYLORD,KAPX , 44.90833, -84.71944,  448
WI,GREEN BAY,KGRB , 44.48889, -88.11083,  214
MN,MINNEAPOLIS,KMPX , 44.84722, -93.56444,  288
SD,ABERDEEN,KABR , 45.45444, -98.41389,  397
SD,RAPID CITY,KUNR , 44.07778,-103.21667, 1027
WY,RIVERTON,KRIW , 43.06472,-108.47667, 1700
ID,BOISE,KBOI , 43.58000,-116.22639,  871
OR,SALEM,KSLE , 44.91667,-123.00000,   61
ME,CARIBOU,KCAR , 46.86667, -68.01667,  191
MN,INTERNATIONAL FALLS,KINL , 48.56444, -93.39694,  361
ND,BISMARCK,KBIS , 46.77194,-100.76111,  505
MT,GLASGOW,KGGW , 48.20583,-106.62500,  692
MT,GREAT FALLS,KTFX , 47.46028,-111.38417, 1132
WA,SPOKANE,KOTX , 47.68111,-117.62583,  728
WA,QUILLAYUTE,KUIL , 47.93750,-124.55500,   56
WA,TATOOSH ISLAND,72798, 48.38300,-124.73000,   31
ABERDEEN,PHILLIPS AAF,KAPG , 39.46667, -76.16667,    5
AZ,YUMA PG,K1Y7 , 32.87000,-114.33000,  131
AZ,YUMA PG SITE 2,K1Y8 , 32.86000,-114.03000,  231
AZ,YUMA PG SITE 3,K1Y9 , 32.92000,-113.80000,  145
ME,PORTLAND,KGYX , 43.89250, -70.25787,  125
IL,QUAD CITIES,KDVN , 41.61250, -90.58222,  229
MA,CHATHAM,KCHH , 41.66667, -69.96667,   16
IL,LINCOLN,KILX , 40.15111, -89.33861,  178
US,SOUTH VANDENBERG AFB,74606, 34.65000,-120.56667,  112
US,PHOENIX,KPSR , 33.43528,-112.00917,  336
FL,CAPE CANAVERAL,KXMR , 28.48000, -80.57000,    3
MX,ISLE OF GUADALUPE,MILS , 28.88000,-118.30000,   25
MX,CHIHUAHUA,MMCU , 28.63333,-106.06667, 1435
MX,GUAYMAS,MMGM , 27.92000,-110.90000,   11
MX,MONCLOVA,MMOV , 26.90000,-101.42000,  586
MX,LOS MOCHIS,MLMM , 25.80000,-109.12000,   17
MX,TORREON,MTRC , 25.54000,-103.45000, 1150
MX,MONTERREY,MMMY , 25.86667,-100.23333,  448
MX,LA PAZ,MLAP , 24.18000,-110.30000,   18
MX,MAZATLAN,MMMZ , 23.18333,-106.41667,    4
MX,CIUDAD VICTORIA,MCVM , 23.73000, -99.13000,  321
MX,SOTO LA MARINA,MSOT , 23.77000, -98.20000,   25
MX,TAMPICO,MTAM , 22.22000, -97.85000,   24
MX,GUADALAJARA,MMGL , 20.67000,-103.38000, 1551
MX,MERIDA,MMMD , 20.95000, -89.66667,    9
MX,COZUMEL_2,MCZM , 20.48000, -86.95000,    2
MX,MANZANILLO,MMZO , 19.07000,-104.33000,    3
MX,MORELIA,MMOR , 19.70000,-101.18000, 1913
MX,MEXICO CITY,MMMX , 19.43000, -99.08000, 2234
MX,MEXICO/CENTRAL,MMDF , 19.43000, -99.13000, 2237
MX,VERACRUZ,MMVR , 19.15000, -96.12000,   35
MX,SOCORRO ISLAND,MISC , 18.72000,-110.95000,   35
MX,CIUDAD DEL CARMEN,MCME , 18.65000, -91.85000,    3
