MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
329.329452515,8745.50292969,-41.1768054962,-47.085483551,31.8227840424,-56.1509960175,-999.0
302.140313721,9324.11660156,-46.3627323151,-52.58723526,33.2607046127,-55.6855312347,-999.0
276.75062561,9900.55751953,-51.2701137543,-58.2699077606,36.9511672974,-54.5244895935,-999.0
253.067121887,10476.0941406,-55.5421710968,-63.0229759216,40.9443695068,-56.1300983429,-999.0
230.996060181,11053.6404297,-58.4263408661,-66.7553886414,41.7915718079,-54.9970600128,-999.0
210.443370056,11637.806543,-59.6724449158,-69.559866333,41.3489303589,-46.5490497589,-999.0
191.325514221,12233.612207,-59.3418422699,-72.581337738,46.8576862335,-36.0992839813,-999.0
173.564260864,12845.9899414,-57.7033718109,-76.5800750732,51.483026886,-31.1175771713,-999.0
157.084817505,13476.7601563,-56.7919803619,-79.8477874756,52.9113006592,-28.2999616623,-999.0
141.813066101,14123.4243164,-57.72706604,-80.4478607178,52.2164608002,-25.2017023087,-999.0
127.679016113,14782.5724609,-59.8277458191,-80.4478607178,51.6861507416,-20.1319776535,-999.0
114.617821503,15453.3071289,-62.0631698608,-80.4478607178,52.5080440521,-15.0610012054,-999.0
102.559319305,16138.1394531,-63.5864688873,-80.4478607178,52.7417629242,-12.4415641785,-999.0
91.4480331421,16842.04375,-63.6309711456,-80.4478607178,48.078130722,-12.3986272335,-999.0
81.2275421143,17570.8490234,-62.8654094696,-80.4478607178,36.3001401901,-14.766877079,-999.0
71.8422233582,18328.9310547,-61.9606395721,-80.4478607178,25.188444519,-14.2398957729,-999.0
63.2413597107,19121.3501953,-60.1725265503,-80.4478607178,20.6691596985,-10.8156214118,-999.0
54.5658977509,20054.9882812,-57.9736724854,-80.4478607178,14.9107096672,-5.02856252193,-999.0


MEM = MEAN
TIME = 160212/0400
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 383.933

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
974.926739502,383.9331604,8.89136991501,0.739956552535,-2.58750913739,-0.515131863952,-999.0
